included,category,dataset,mean,lower,upper
6,TFN,Weeplace,0.8192012206176625,0.7979521215164437,0.8400219548812967
7,CB-1D-MFN,BrightKite,0.8649971154431312,0.8271140111728884,0.9019015524059314
7,CB-1D-MFN,Gowalla,1.1474352393973295,1.0773196726112615,1.2311478832524476
7,CB-1D-MFN,Weeplace,0.8910814957263605,0.8720051577510267,0.9101072005747493
7,CB-1H-MFN,BrightKite,0.8473851810907342,0.8065785587903327,0.8853821820715896
7,CB-1H-MFN,Gowalla,1.0795841968951343,1.0160576890102853,1.15383923083117
7,CB-1H-MFN,Weeplace,0.8368521031234354,0.8156050891710482,0.8585599096026443
7,SW-24H-MFN,BrightKite,0.8717928867327128,0.8347736031347198,0.906317761030242
7,SW-24H-MFN,Gowalla,1.155497851359685,1.0854893408599258,1.2372325761226446
7,SW-24H-MFN,Weeplace,0.8896732946436177,0.8714273828066063,0.9084839944047315
7,TFN,BrightKite,0.8362201181395683,0.7986904073278419,0.8712493622582562
7,TFN,Gowalla,1.097369367452175,1.0319583846957767,1.1765979086751799
7,TFN,Weeplace,0.8320861175111663,0.8107379785779923,0.8531903060706816
8,CB-1D-MFN,BrightKite,0.8690567122554517,0.8314636409377035,0.9042225034958266
8,CB-1D-MFN,Gowalla,1.159433732050109,1.0911213295675444,1.245823625215056
8,CB-1D-MFN,Weeplace,0.902926872026942,0.8834667647616707,0.92274028025146
8,CB-1H-MFN,BrightKite,0.8513259749289311,0.8127404443182176,0.8885992905592414
8,CB-1H-MFN,Gowalla,1.0856084552985483,1.0241940014968811,1.1538473915397065
8,CB-1H-MFN,Weeplace,0.8511716812601801,0.8297364326689789,0.8723080022699933
8,SW-24H-MFN,BrightKite,0.8744912424719794,0.8375114487373103,0.9092757862993243
8,SW-24H-MFN,Gowalla,1.1684109975703627,1.0979672375531089,1.253527249899586
8,SW-24H-MFN,Weeplace,0.9025091177671546,0.8833153256440854,0.9211915051598453
8,TFN,BrightKite,0.8413997945058527,0.8030708045026554,0.8779510922021446
8,TFN,Gowalla,1.1023989317263432,1.0393740699662237,1.1788309979617786
8,TFN,Weeplace,0.8469275617957557,0.8251706469166048,0.8678991461578562
9,CB-1D-MFN,BrightKite,0.8724205842439504,0.8353108080655354,0.9079703687826057
9,CB-1D-MFN,Gowalla,1.171632566142219,1.1030407788038536,1.2514212858083502
9,CB-1D-MFN,Weeplace,0.911909212993553,0.8916107859244986,0.9315967009334472
9,CB-1H-MFN,BrightKite,0.8572555497411787,0.8179492119096861,0.8942041508771521
9,CB-1H-MFN,Gowalla,1.0914134741269554,1.0320122847579138,1.1567167630656854
9,CB-1H-MFN,Weeplace,0.8635198662221305,0.841545497672794,0.8852772290172934
9,SW-24H-MFN,BrightKite,0.8772423841055867,0.8404354408907043,0.9120825244454374
9,SW-24H-MFN,Gowalla,1.1790345548072503,1.1080902710171896,1.264247639684741
9,SW-24H-MFN,Weeplace,0.9113983187113353,0.8925901716671052,0.9311822381285549
9,TFN,BrightKite,0.842814346502244,0.805509031404837,0.8799479895373231
9,TFN,Gowalla,1.1080149561220871,1.044097171037702,1.1840198552660528
9,TFN,Weeplace,0.8589556588011087,0.8370832946778466,0.8807127626892066
10,CB-1D-MFN,BrightKite,0.8751392496736067,0.8378428176797658,0.9111814082658652
10,CB-1D-MFN,Gowalla,1.1793980605196015,1.1097319764202136,1.263751139516141
10,CB-1D-MFN,Weeplace,0.9202276723687037,0.9003830942051042,0.9405020994779044
10,CB-1H-MFN,BrightKite,0.8583656576497133,0.8180734821816164,0.8965800503638259
10,CB-1H-MFN,Gowalla,1.09818480641062,1.0398591311912084,1.1620487658507557
10,CB-1H-MFN,Weeplace,0.8730241809714832,0.8505574051976655,0.8951441626900027
10,SW-24H-MFN,BrightKite,0.8806386587879431,0.8440669532338362,0.9162865696005625
10,SW-24H-MFN,Gowalla,1.1868355353341284,1.117876409656017,1.2705922008150263
10,SW-24H-MFN,Weeplace,0.9208276669970626,0.9013039082694877,0.9406553553587649
10,TFN,BrightKite,0.8451694984159072,0.8057221451255266,0.8819478239698547
10,TFN,Gowalla,1.114411667342137,1.050561586814986,1.1920381861245093
10,TFN,Weeplace,0.8689920681307908,0.8471809747193753,0.8904666128219079
