included,category,dataset,mean,lower,upper,LR
7,D-MFN,BrightKite,0.04818738302016646,0.038562477280778946,0.0582657268496606,USLR
7,D-MFN,Gowalla,0.08814832065915139,0.07729507389388098,0.09957054175382421,USLR
7,D-MFN,Weeplace,0.0872210543736839,0.08067956890109416,0.09387064235682098,USLR
7,H-MFN,BrightKite,0.057328577492043724,0.044899112974858525,0.07096137642081188,USLR
7,H-MFN,Gowalla,0.08419473432596099,0.07356237616760289,0.09539021656198027,USLR
7,H-MFN,Weeplace,0.09070899225035631,0.0838665685681387,0.0978793773069399,USLR
7,TFN,BrightKite,0.038128107220083106,0.028491237775933088,0.048775347492673406,USLR
7,TFN,Gowalla,0.06784978290502423,0.055029492222012914,0.08185723189210695,USLR
7,TFN,Weeplace,0.07492936716160135,0.06731142721324312,0.08295384107272141,USLR
8,24H-MFN,BrightKite,0.05143520566521764,0.04061941142137275,0.06274451642483772,USLR
8,24H-MFN,Gowalla,0.08659972863137799,0.0754438644082707,0.0982885742580611,USLR
8,24H-MFN,Weeplace,0.07599693030456754,0.06967738969186728,0.08244029696726059,USLR
8,All-MFN,BrightKite,0.05737043896062729,0.04852875409848609,0.06706187321697483,USLR
8,All-MFN,Gowalla,0.020714528015654918,0.017053546609422317,0.02509114865584313,USLR
8,All-MFN,Weeplace,0.010073300063998513,0.00870474824282433,0.011690659211596687,USLR
8,D-MFN,BrightKite,0.04619202574682003,0.03588558730885817,0.05863997216540211,USLR
8,D-MFN,Gowalla,0.08131304753360863,0.07125359310045455,0.09184824407273828,USLR
8,D-MFN,Weeplace,0.087365051171019,0.081239870760198,0.09376206346325452,USLR
8,H-MFN,BrightKite,0.04367997550634464,0.034871890090443294,0.05422813328759092,USLR
8,H-MFN,Gowalla,0.07331624036514299,0.06393009052166812,0.08345892559086605,USLR
8,H-MFN,Weeplace,0.07987796271328534,0.0737311001272448,0.0862945048738672,USLR
8,TFN,BrightKite,0.04518890282186621,0.034102600475529946,0.057136119050069385,USLR
8,TFN,Gowalla,0.0654922883736504,0.05509950254848945,0.07690401617439525,USLR
8,TFN,Weeplace,0.07121106178305216,0.06482341308279416,0.07806528256331131,USLR
9,24H-MFN,BrightKite,0.04012780256847886,0.032214890827006896,0.048590187724745264,USLR
9,24H-MFN,Gowalla,0.07184881697450633,0.0627352439695007,0.08143509536108082,USLR
9,24H-MFN,Weeplace,0.07544609831113759,0.06904448491085402,0.08204387450862025,USLR
9,All-MFN,BrightKite,0.05453819212834338,0.045866643047854344,0.06423360195496418,USLR
9,All-MFN,Gowalla,0.015875406955142404,0.013229511624525755,0.019249309629953717,USLR
9,All-MFN,Weeplace,0.008403032749947944,0.007203282861984915,0.009795093710095935,USLR
9,D-MFN,BrightKite,0.04328284980781091,0.03186899636558304,0.05891927429063664,USLR
9,D-MFN,Gowalla,0.07294264657281486,0.0651899784041134,0.08105709877834831,USLR
9,D-MFN,Weeplace,0.08399847826933644,0.07814816482759179,0.09010486449198647,USLR
9,H-MFN,BrightKite,0.04332861779397976,0.03586815561067286,0.05141395757001115,USLR
9,H-MFN,Gowalla,0.06769935989889177,0.05805046570476062,0.07818735946406832,USLR
9,H-MFN,Weeplace,0.07752359365770417,0.07109978271279928,0.08400595715786895,USLR
9,TFN,BrightKite,0.036603521240026735,0.028118661650136996,0.04561927818224722,USLR
9,TFN,Gowalla,0.06537044495729491,0.05513585187328834,0.07663363828303155,USLR
9,TFN,Weeplace,0.07169705792491332,0.06491311157880778,0.07872453669537902,USLR
10,24H-MFN,BrightKite,0.03768588515511672,0.0298450008006444,0.04601795258277096,USLR
10,24H-MFN,Gowalla,0.07180177009962661,0.06356268246479067,0.08032696734797433,USLR
10,24H-MFN,Weeplace,0.07313090048309145,0.06700324667592052,0.07946898161275173,USLR
10,All-MFN,BrightKite,0.0519900558959005,0.04342100386265862,0.06166094422753552,USLR
10,All-MFN,Gowalla,0.01197814041293136,0.00984868927972797,0.01462186345414015,USLR
10,All-MFN,Weeplace,0.006971510978428724,0.005893522664339594,0.00832131695809627,USLR
10,D-MFN,BrightKite,0.04325672825507989,0.03328065775787677,0.05503461379008458,USLR
10,D-MFN,Gowalla,0.0745461308806016,0.0658575620562208,0.0837606610874401,USLR
10,D-MFN,Weeplace,0.08402798540902034,0.07765208715172721,0.0906742713674499,USLR
10,H-MFN,BrightKite,0.0390197662130639,0.029699105224249803,0.04942149790659382,USLR
10,H-MFN,Gowalla,0.06627931874394806,0.05847559414416355,0.07456119060045677,USLR
10,H-MFN,Weeplace,0.0732632981032395,0.06699851875267364,0.07974430976141934,USLR
10,TFN,BrightKite,0.0402716256749909,0.02908206037981658,0.05468182767111681,USLR
10,TFN,Gowalla,0.07362970825083205,0.06108406098993155,0.08724984613798223,USLR
10,TFN,Weeplace,0.08164670407454068,0.07415459014599228,0.08913085220793114,USLR
1,24H-MFN,BrightKite,0.26184187507474466,0.21334004831916342,0.3133056348858664,SLR
1,24H-MFN,Gowalla,0.21235561273659595,0.1871692517104569,0.2388426073574851,SLR
1,24H-MFN,Weeplace,0.1737069091628371,0.16075773463886794,0.18765880696036255,SLR
1,All-MFN,BrightKite,0.1732059570952728,0.13919871120126703,0.20949611288828796,SLR
1,All-MFN,Gowalla,0.07932386749322162,0.06482119923958578,0.09577491880616608,SLR
1,All-MFN,Weeplace,0.045154675567464025,0.0377793104345075,0.05389630467340558,SLR
1,D-MFN,BrightKite,0.26440432612353176,0.21721320215700504,0.3144132467303776,SLR
1,D-MFN,Gowalla,0.221914400126857,0.1963883560815603,0.24785324971274383,SLR
1,D-MFN,Weeplace,0.17642075236918045,0.1639754123682725,0.1895114352760673,SLR
1,H-MFN,BrightKite,0.2559474236258666,0.21029807578847348,0.3045858366699943,SLR
1,H-MFN,Gowalla,0.2031909544385936,0.17890885120587147,0.22853624304304135,SLR
1,H-MFN,Weeplace,0.16502660387190707,0.15185597116371552,0.17853907341905273,SLR
1,TFN,BrightKite,0.1253355591191269,0.0863039518767561,0.16972438689110178,SLR
1,TFN,Gowalla,0.1137329399795788,0.09254081828226726,0.13660744887784904,SLR
1,TFN,Weeplace,0.07269659920962242,0.061077423071329434,0.08541006294050418,SLR
2,24H-MFN,BrightKite,0.20645670849987957,0.16478303501147715,0.2530168049991804,SLR
2,24H-MFN,Gowalla,0.15440096586857396,0.13536185054071484,0.17518239400858246,SLR
2,24H-MFN,Weeplace,0.12667738856226546,0.1173295080839181,0.136226450867279,SLR
2,All-MFN,BrightKite,0.14673986825004376,0.11075513687830478,0.18679966580112345,SLR
2,All-MFN,Gowalla,0.05458283022332384,0.04587511821443949,0.0641279307457463,SLR
2,All-MFN,Weeplace,0.0320031453992405,0.026450522541166532,0.038768499645959076,SLR
2,D-MFN,BrightKite,0.22385747543793147,0.18335903813631158,0.2679113406117922,SLR
2,D-MFN,Gowalla,0.15624516297222804,0.13730864548208604,0.1761410897698288,SLR
2,D-MFN,Weeplace,0.13072781834984343,0.12184866333042699,0.13987537789457144,SLR
2,H-MFN,BrightKite,0.209374166994574,0.16682066847727547,0.25353589395677356,SLR
2,H-MFN,Gowalla,0.1472962513682747,0.12759150681824621,0.16758496690001187,SLR
2,H-MFN,Weeplace,0.12489769326128902,0.11538927659051956,0.13497958523638895,SLR
2,TFN,BrightKite,0.12895854111050456,0.08837030920326182,0.1740906257769809,SLR
2,TFN,Gowalla,0.09374398298609898,0.07715554510237456,0.11176330736563556,SLR
2,TFN,Weeplace,0.060424935151635835,0.051668150202327214,0.06975577203809046,SLR
3,24H-MFN,BrightKite,0.18947537642548193,0.15110107815669396,0.23113067164458312,SLR
3,24H-MFN,Gowalla,0.12472088027898248,0.109133227482429,0.14107137210937892,SLR
3,24H-MFN,Weeplace,0.10674286102169475,0.09827864002484299,0.11575400064029089,SLR
3,All-MFN,BrightKite,0.11298065474549487,0.08513953971435041,0.14726461758954215,SLR
3,All-MFN,Gowalla,0.04325732589775245,0.03551833691095745,0.05219731590392862,SLR
3,All-MFN,Weeplace,0.02357786754443592,0.01908838031022274,0.02870879606790754,SLR
3,D-MFN,BrightKite,0.18676599653660242,0.1508058385974556,0.22737053603955182,SLR
3,D-MFN,Gowalla,0.12969822370300657,0.11367527425922393,0.1464033040857108,SLR
3,D-MFN,Weeplace,0.11516667541213882,0.10650491636761644,0.12466993966888752,SLR
3,H-MFN,BrightKite,0.19407214964473976,0.15281757253071043,0.23898512183974668,SLR
3,H-MFN,Gowalla,0.130902429462899,0.11221617492117637,0.14993605023302417,SLR
3,H-MFN,Weeplace,0.1041178229226136,0.09559335465496768,0.11336040645950093,SLR
3,TFN,BrightKite,0.09380829167818519,0.06512282484966939,0.12624600317258314,SLR
3,TFN,Gowalla,0.08701889103266211,0.07107285940803085,0.10385149017360956,SLR
3,TFN,Weeplace,0.06116964958961699,0.053248011742682705,0.06966066623273941,SLR
4,24H-MFN,BrightKite,0.17672859606404207,0.13828714405323309,0.21801553080713107,SLR
4,24H-MFN,Gowalla,0.11789132070507975,0.10106584759267757,0.13568958970596684,SLR
4,24H-MFN,Weeplace,0.09987146950250653,0.09192402023829395,0.10843672455931912,SLR
4,All-MFN,BrightKite,0.09717181641223588,0.07432206588694018,0.12316156657093041,SLR
4,All-MFN,Gowalla,0.0386968791318373,0.03088585074632698,0.04776446600218069,SLR
4,All-MFN,Weeplace,0.02125992717027841,0.015706206315732368,0.028105054007640354,SLR
4,D-MFN,BrightKite,0.1704777148146347,0.1340942975294287,0.210374508506773,SLR
4,D-MFN,Gowalla,0.1167630015238946,0.10070077128378645,0.13327197340241212,SLR
4,D-MFN,Weeplace,0.10494232169536048,0.09689590706070172,0.11344215949458972,SLR
4,H-MFN,BrightKite,0.15940416610041003,0.12240691023876804,0.20236209593512242,SLR
4,H-MFN,Gowalla,0.10119099980544123,0.08616041760678594,0.1177816105288815,SLR
4,H-MFN,Weeplace,0.09334960595968446,0.0862797814466906,0.10064149782479098,SLR
4,TFN,BrightKite,0.06400391087794831,0.04187614914030124,0.09144920696956453,SLR
4,TFN,Gowalla,0.0792704183173155,0.06409735196553655,0.09583588422251318,SLR
4,TFN,Weeplace,0.05649132044139131,0.04924171244613515,0.06431527967871037,SLR
5,24H-MFN,BrightKite,0.14384324880957772,0.11224864739777077,0.1792886306240736,SLR
5,24H-MFN,Gowalla,0.10671433744360699,0.09018837108766359,0.1253881747643437,SLR
5,24H-MFN,Weeplace,0.09716146578204544,0.08864710615442656,0.10623422314219565,SLR
5,All-MFN,BrightKite,0.10376067823466678,0.07655090011359175,0.13535401113473639,SLR
5,All-MFN,Gowalla,0.02862578989063613,0.02356336190629889,0.034617861019641955,SLR
5,All-MFN,Weeplace,0.015341686733114078,0.01127352673569301,0.0206941665653996,SLR
5,D-MFN,BrightKite,0.17118670112347575,0.13208798157596233,0.21541004233846492,SLR
5,D-MFN,Gowalla,0.10674368843782833,0.09083781973776217,0.12383985244749303,SLR
5,D-MFN,Weeplace,0.09360821323565631,0.08605795487146495,0.10174006575146827,SLR
5,H-MFN,BrightKite,0.1445956972263515,0.11344105855199246,0.17877990805289912,SLR
5,H-MFN,Gowalla,0.10033201488583224,0.0830643769909912,0.11938481494797203,SLR
5,H-MFN,Weeplace,0.09250276792319916,0.08374568896495678,0.10185327851443275,SLR
5,TFN,BrightKite,0.08126087676295574,0.05555151556268982,0.10984395905386468,SLR
5,TFN,Gowalla,0.08190043907174485,0.06546845777822308,0.09924422014854742,SLR
5,TFN,Weeplace,0.060285083133440165,0.05261400545873209,0.0685018615326771,SLR
6,24H-MFN,BrightKite,0.14317299190356733,0.10859667539729115,0.1821767394440957,SLR
