included,category,dataset,mean,lower,upper,mean_CCE,lower_CCE,upper_CCE
3,SW-24H-MFN,Weeplace,0.6205044353501082,0.5957975603332017,0.6452645584907254,1.2884125656626473,1.261190068226826,1.3173885923914719
3,TFN,BrightKite,0.7225009754736297,0.6732048872378237,0.76966961871755,1.5880239168791324,1.4426838765809538,1.7664494739606618
3,TFN,Gowalla,0.8468816458052258,0.7976370825998228,0.8980855497087803,1.1033478962486447,1.080820356370005,1.1263755814088512
3,TFN,Weeplace,0.6479550982328963,0.624807549324303,0.670734450367317,1.268631972447706,1.2434220242169158,1.2954677291046715
4,CB-1D-MFN,BrightKite,0.7347831536651657,0.6790183744271356,0.7877346021686015,1.4381320205432007,1.3485983200325768,1.5475889835456522
4,CB-1D-MFN,Gowalla,0.8547081258648497,0.8090316638511901,0.9031573856337826,1.095176157570292,1.0736275408816527,1.117843269714263
4,CB-1D-MFN,Weeplace,0.6931674693988702,0.6698381966205234,0.7158292855479378,1.2428384999250606,1.2180329556313771,1.2699184992424148
4,CB-1H-MFN,BrightKite,0.7553732059645557,0.7072088444104591,0.801742915429099,1.4139281061416356,1.3263003193943697,1.5246953490507849
4,CB-1H-MFN,Gowalla,0.8659419692775168,0.8169208430668635,0.9148108850390898,1.0941344901292758,1.0704489151995455,1.1184531515686884
4,CB-1H-MFN,Weeplace,0.6950415397410975,0.6722556070208757,0.7182860218789549,1.2412586605819902,1.2161990511609517,1.2690857593127078
4,SW-24H-MFN,BrightKite,0.7228087570355521,0.6663647712915156,0.7765863443672908,1.4426281633249367,1.3497757590179786,1.5543395729513225
4,SW-24H-MFN,Gowalla,0.8510464192409133,0.803108137834627,0.9016403340489076,1.099567692068079,1.0772166761799646,1.1231544220616756
4,SW-24H-MFN,Weeplace,0.6746397583821249,0.6505488153654951,0.6989872644329449,1.2556928618876448,1.229425617757801,1.2833572170400112
4,TFN,BrightKite,0.7440040253125965,0.6974392484057524,0.7896037216256936,1.5166322123623635,1.39619678736306,1.6633544529305495
4,TFN,Gowalla,0.8880636928538097,0.8380974017757102,0.942243754576792,1.0851355214027398,1.062914400140557,1.10766691287602
4,TFN,Weeplace,0.7039427343513778,0.681096501207527,0.7263418112292793,1.2340014946385949,1.2087408526710217,1.2608149920560159
5,CB-1D-MFN,BrightKite,0.7510156464187003,0.6980874089302566,0.8020744880068947,1.4074047382624457,1.3226219012332106,1.5129748601668427
5,CB-1D-MFN,Gowalla,0.893383903024687,0.8464944124304503,0.9444831849206192,1.078973941665961,1.058029393789846,1.1015182587801087
5,CB-1D-MFN,Weeplace,0.7326590169940035,0.7092759087261618,0.7556819785278165,1.218593527134886,1.1940889306158984,1.2444904957681353
5,CB-1H-MFN,BrightKite,0.7725504611928748,0.7251952583965514,0.8176566884202309,1.381573624698569,1.2964689526850526,1.4896107860899197
5,CB-1H-MFN,Gowalla,0.8965626997546462,0.8487269225411186,0.9452720135245446,1.0796194459395785,1.0570602523095074,1.1039608920329669
5,CB-1H-MFN,Weeplace,0.7367862770759208,0.7136148171702648,0.7594230074293993,1.216037706736714,1.1917986625035597,1.2430235216782735
5,SW-24H-MFN,BrightKite,0.7489128041691983,0.6972192473169315,0.7982271026767954,1.4021889851463825,1.312227376429358,1.511019950902988
5,SW-24H-MFN,Gowalla,0.8849904159850113,0.838504834496117,0.9356267999402132,1.0841892061004612,1.0623875605646569,1.1069996531390072
5,SW-24H-MFN,Weeplace,0.7196493421501984,0.6954244724616232,0.7440778118343908,1.2274355563624804,1.202020803361459,1.2548646488856827
5,TFN,BrightKite,0.7606110083959579,0.714270338627747,0.8045216734649497,1.455669957185966,1.3571036768488423,1.5731417484907446
5,TFN,Gowalla,0.9215120113766186,0.868733202774554,0.9794524584816923,1.0702402570646217,1.0482392609880942,1.0929721647401416
5,TFN,Weeplace,0.7429910809815208,0.7200369140845668,0.7658810819444642,1.20924129346523,1.1850651414284155,1.2346980942293868
6,CB-1D-MFN,BrightKite,0.7655956880643419,0.7145945408480985,0.8141741869618218,1.3864912070304407,1.3020060338652866,1.4913389480116745
6,CB-1D-MFN,Gowalla,0.9223237245577472,0.8741597860243507,0.9744939030932479,1.0663291346155321,1.0451297630302916,1.0882111197751942
6,CB-1D-MFN,Weeplace,0.7667802481188696,0.7442483034302512,0.7898007415657974,1.1958584911446055,1.1727936792059483,1.221010992878968
6,CB-1H-MFN,BrightKite,0.7867573227672007,0.7418352736244438,0.8308911738647625,1.3563882067352562,1.2722995562784456,1.4645057236376637
6,CB-1H-MFN,Gowalla,0.9260096200084013,0.8769079872922013,0.9789806801481677,1.0679264709899094,1.0454080657737794,1.0915686875167219
6,CB-1H-MFN,Weeplace,0.765709323391956,0.7430454695063262,0.7890746135498875,1.1979467412165474,1.1737424992590169,1.2240369029528329
6,SW-24H-MFN,BrightKite,0.7670608268424224,0.7177843775128249,0.8141166137040637,1.372537208005431,1.2870867620878927,1.4829942172528585
6,SW-24H-MFN,Gowalla,0.9152064030939266,0.8673236611801934,0.9664063915381035,1.0710084277447838,1.0493069031024906,1.0938171141819226
6,SW-24H-MFN,Weeplace,0.7516872727593041,0.7282577995364484,0.7756261310114612,1.2059032219992594,1.1814604562208613,1.2319025791973333
6,TFN,BrightKite,0.7725318678673027,0.7269173124318916,0.8154652760672033,1.4370659240617218,1.3354877813075838,1.558456262619691
6,TFN,Gowalla,0.9535328919068973,0.8993601877453121,1.01561277089404,1.0565545925450508,1.0354860675043775,1.0783038959172138
6,TFN,Weeplace,0.7722760160774571,0.7494586312071682,0.7950151926597065,1.1918269082518622,1.1680420099093487,1.2173840883470686
7,CB-1D-MFN,BrightKite,0.7763456337586286,0.7268359471071599,0.824716081704177,1.3695395104242134,1.2850374059206977,1.4708382457805962
7,CB-1D-MFN,Gowalla,0.9457514471226991,0.8977144675057456,1.0000905464213254,1.0557439653696692,1.0348714269755612,1.0776092346610753
7,CB-1D-MFN,Weeplace,0.7923053873914396,0.7697907685997575,0.8151566633169728,1.1793831375493147,1.1564405459138056,1.2039820188765338
7,CB-1H-MFN,BrightKite,0.7970223060683443,0.7523142502119193,0.8413000316687178,1.3395787248892976,1.256283856749304,1.4458677003113045
7,CB-1H-MFN,Gowalla,0.9512784131965677,0.9007994943297147,1.0065490583987946,1.0579187268008345,1.0355859515826875,1.0818937325997915
7,CB-1H-MFN,Weeplace,0.788843506528776,0.7660809102854448,0.8123872609653113,1.1826953652474794,1.158842222282342,1.2085377225190626
7,SW-24H-MFN,BrightKite,0.7786020948627247,0.7297176500951478,0.8248551929295258,1.356731433601126,1.2719807674189698,1.4635842689568972
7,SW-24H-MFN,Gowalla,0.9391966062231322,0.8909590318472077,0.9919726929492505,1.0595765184127157,1.0380349361854897,1.0822276124331778
7,SW-24H-MFN,Weeplace,0.7793690176225704,0.7556139013907788,0.8029348495876962,1.1878772222294072,1.1643043817783318,1.2130572267873596
7,TFN,BrightKite,0.7841748947440662,0.7394483247631563,0.8254499372492609,1.415032549745777,1.3209826676651382,1.5284238366626486
