userid_x,userid_y,N_previous,n_prev_match,CE_alter,Pi_alter,meetup,Rank,CCE_alters,Pi_alters,CCE_ego_alter,Pi_ego_alter,CCE_ego_alters,Pi_ego_alters,LZ_entropy,Pi,ODLR,CODLR,category,a_Pi
914F7B384095669FC9416FE1B31AA284,4A38C6E43ED67E74612EC3370E60D1CE,833,3771,1.0874109249432544,0.8392446367797236,123,1,1.0874109249432544,0.8392446367797236,0.8169456933003275,0.8885858759096171,0.8169456933003275,0.8885858759096171,0.8624838572692158,0.8806611623029803,0.625,0.625,non-social co-location network,0.8672473188116901
915F5D1C38C0B95FD9133BB76C54FC7E,0B2DA151DA7E198C605C31B5927E3011,2052,3665,0.5966237537556758,0.9185096264766233,128,1,0.5966237537556758,0.9185096264766233,0.5234273586799999,0.9308298352858465,0.5234273586799999,0.9308298352858465,0.43689092737591306,0.9447015043232013,0.5,0.5,non-social co-location network,0.8476463511404438
916D58C8CD956E40FFAA7621158A37A7,98AB14280AC4CDF831776A0E1C09707F,567,3046,0.9739151155279729,0.8606175698227254,118,1,0.9739151155279729,0.8606175698227254,0.8841403206617306,0.8768382263957747,0.8841403206617306,0.8768382263957747,0.9967613676813442,0.8563934224342856,1.0,1.0,non-social co-location network,0.8778115892456415
917CA90EE7C13D8FD16A3258EC537D7C,ACD38DA5F1F062CF0C64B4CA12B2CD2F,529,1257,1.6972646200038484,0.7994544068859293,32,1,1.6972646200038484,0.7994544068859293,1.3483503517509012,0.848665447376452,1.3483503517509012,0.848665447376452,1.4104797147717587,0.8401526384082866,0.06666666666666667,0.06666666666666667,non-social co-location network,0.8704735670973822
91A1DCDE59A001A64CB077B6C9985F7B,86C681421F2DC452949856F78702A689,827,729,4.5316520473335045,0.4142927554227515,34,1,4.5316520473335045,0.4142927554227515,1.9445930466763834,0.7988280197604297,1.9445930466763834,0.7988280197604297,1.9761622990155387,0.7949005189382308,0.17647058823529413,0.17647058823529413,non-social co-location network,0.8347506645424198
91E8E78D9F23D58526FC162865021853,E882168C215D4CE51D4F12D8AEDD40F3,451,1666,1.137835473170924,0.8356181697340815,40,1,1.137835473170924,0.8356181697340815,0.9329388953435419,0.8725178272727256,0.9329388953435419,0.8725178272727256,0.9675198429823292,0.866489393933661,0.7777777777777778,0.7777777777777778,non-social co-location network,0.8781608331719353
91ED96059E67EBBC383B47CB17F243B0,DE971B3CEC29D9EDF0A2BE0FDB330115,465,1034,1.1421620022049666,0.856112304188854,33,1,1.1421620022049666,0.856112304188854,1.0246909682893475,0.8742121731649727,1.0246909682893475,0.8742121731649727,1.0112753551293039,0.8762394033428216,0.26666666666666666,0.26666666666666666,non-social co-location network,0.9479295838646828
91EF7F95DA9F4F647A5B55F0C5E5252B,820341AFE5BD41C1685256C99629E430,555,758,3.4064143511330784,0.3508345814790481,55,1,3.4064143511330784,0.3508345814790481,1.255103688668564,0.8381230952741253,1.255103688668564,0.8381230952741253,1.2827287294117327,0.8336355499730151,0.3333333333333333,0.3333333333333333,non-social co-location network,0.9516223505687657
91F2F96A4553D56A3B5BAD41BFED8E64,97ABAECA90CDF9A8F6F29BC53A53C809,407,735,2.3478230165721086,0.7225837204708567,21,1,2.3478230165721086,0.7225837204708567,1.5640835632947825,0.8313419393159154,1.5640835632947825,0.8313419393159154,1.5882981304609056,0.8281879790874499,0.13953488372093023,0.13953488372093023,non-social co-location network,0.7791931666928671
920836ECF97E5D99A5D7CEC879365D77,02C5A6CB635FFF4606BC8A2FA9DBB362,177,220,3.911602907186332,0.16293724353244277,20,1,3.911602907186332,0.16293724353244277,2.091218093397295,0.6925821704520483,2.091218093397295,0.6925821704520483,2.190131318194802,0.6728491799528292,0.1875,0.1875,non-social co-location network,0.6744852176857633
92249DBE773446516F5B9BA128F74449,AABF0B490AEFA0DD7176C78E74E630F4,471,374,5.821605224423851,0.17932205060182319,4,1,5.821605224423851,0.17932205060182319,1.4748465051452675,0.8585064870928194,1.4748465051452675,0.8585064870928194,1.507647419630855,0.8547985010731509,0.47435897435897434,0.47435897435897434,non-social co-location network,0.656964796849342
9224AC68B60017DB2D51BF2D3CB2592C,AEED59CCA174062C1291934AF8B4BB88,321,334,2.851193008919641,0.4395540232881316,21,1,2.851193008919641,0.4395540232881316,1.4227859142426509,0.7931068956804238,1.4227859142426509,0.7931068956804238,1.3211801351349275,0.8121124865151326,0.8181818181818182,0.8181818181818182,non-social co-location network,0.7472251522833772
9234502F3F34580148BFC0627B618A09,282BA1BD28A230659EE249B5849902E0,303,144,4.252287692769769,0.23317422232379884,15,1,4.252287692769769,0.23317422232379884,2.8558718809409194,0.5850912096428736,2.8558718809409194,0.5850912096428736,2.8839920995901176,0.579470255674134,0.2916666666666667,0.2916666666666667,non-social co-location network,0.860177698160854
9261D94BE7464AF9993065CCABDF43CF,4BCB0FCE3A6320A5824C4E106100C716,310,12233,0.7236679885780172,0.9316303731407127,96,1,0.7236679885780172,0.9316303731407127,0.6826795717320169,0.9361138537810461,0.6826795717320169,0.9361138537810461,0.7311902994009932,0.9308020080121895,0.04878048780487805,0.04878048780487805,non-social co-location network,0.9704968361622615
926AFD9C0D6B56DE08BAE160FA950458,FECA22DCCBBC505186CC5011F4751ADA,514,1715,0.9576443141752988,0.8720056649779704,36,1,0.9576443141752988,0.8720056649779704,0.8780467942210725,0.8852142484724976,0.8780467942210725,0.8852142484724976,1.112419879006528,0.8452013512125263,0.3,0.3,non-social co-location network,0.8637347552279072
92707B997B4EE82D28532A977E60DF2D,EE263CD4CB9807EDBCB75FA956F072BC,483,634,2.039154894429593,0.6356841783909638,22,1,2.039154894429593,0.6356841783909638,1.71781978515326,0.7148508581629649,1.71781978515326,0.7148508581629649,1.7534107458214763,0.7065676889122812,0.5555555555555556,0.5555555555555556,non-social co-location network,0.694990695907011
9291D4CCCCD55EE1B1C9DBC594D3A143,CD7A92E07458F00DA3346179592E790C,760,4300,0.4275279015077,0.9498918007944965,80,1,0.4275279015077,0.9498918007944965,0.3948927127042691,0.954473122096949,0.3948927127042691,0.954473122096949,0.4038501549177953,0.9532249986622874,0.375,0.375,non-social co-location network,0.9607213067962351
929486C0F29DB77A03064C8E5C7891DD,3450F0D5548F1D2675C6C182123BD745,162,298,2.5417859068936113,0.6599465213463425,8,1,2.5417859068936113,0.6599465213463425,2.162053174221593,0.7240388667661373,2.162053174221593,0.7240388667661373,2.495109929359445,0.6680814473147747,0.2857142857142857,0.2857142857142857,non-social co-location network,0.6911453300902661
92A534F1811E2B164FEF1DFF35FDDC0D,CF499805A059CBDAF60AA26622752700,533,1042,4.440365805383902,0.46260018463112446,29,1,4.440365805383902,0.46260018463112446,1.490440083026406,0.8590150592729253,1.490440083026406,0.8590150592729253,1.533641045106955,0.8542086358793712,0.3023255813953488,0.3023255813953488,non-social co-location network,0.8810355404292946
92A6C89B98C7E9633EC806CA2728474E,C5468E0C03832CA7FDED26D5AA97C199,1852,3550,0.7088977175089868,0.9197093186571021,103,1,0.7088977175089868,0.9197093186571021,0.6151075734826049,0.9322909939365381,0.6151075734826049,0.9322909939365381,0.55850529019704,0.9396630408036193,0.2,0.2,non-social co-location network,0.89060537904306
92A844863F01C872D5A1413A6AE8A36E,57CEDC1BB20369E5CB1D09E35B9E1B61,421,290,4.095394986772554,0.4896707310590562,19,1,4.095394986772554,0.4896707310590562,2.9181549831391624,0.66979975288936,2.9181549831391624,0.66979975288936,3.079699248120301,0.6467620910796886,0.20588235294117646,0.20588235294117646,non-social co-location network,0.7432862659767955
92B28145471630FC35A1B100D4C3FFF8,DB9165FE64ACBB144B70D26098ABDFDF,185,519,2.0645465262394365,0.7374700229193384,10,1,2.0645465262394365,0.7374700229193384,1.468272725706163,0.8283533207037654,1.468272725706163,0.8283533207037654,1.476244440599981,0.8272088552031771,0.18518518518518517,0.18518518518518517,non-social co-location network,0.7655335991609054
92B4C88C77DA1240C658FF3E67803BCF,3D70B056C11056103B8CADCF1B09DF02,376,227,4.203824105302563,0.38174466241546134,14,1,4.203824105302563,0.38174466241546134,2.8003073753753123,0.6451900610921811,2.8003073753753123,0.6451900610921811,3.029452920932683,0.6069473834961969,0.358974358974359,0.358974358974359,non-social co-location network,0.6531038605482254
92B9DF1307D6E42942E48D6AE9C99F9D,CEBC4ADC0AD7F0C5B67879A5FBDE0554,165,1066,1.9805201014981892,0.7550837385574517,21,1,1.9805201014981892,0.7550837385574517,1.6682097169280727,0.8022280195039283,1.6682097169280727,0.8022280195039283,1.8363057416493538,0.7772030709421898,0.4482758620689655,0.4482758620689655,non-social co-location network,0.7088338565994287
92C08CDD6B8F404ABF3FF2B00FA3D73B,6664529CC4281799055DEEE5023F4C24,211,309,3.564618963427533,0.4958847052121316,13,1,3.564618963427533,0.4958847052121316,2.5762726678099837,0.6728628599347883,2.5762726678099837,0.6728628599347883,2.784869276245952,0.6381901743695912,0.14285714285714285,0.14285714285714285,non-social co-location network,0.7650117803278642
92C0FE87573728E674631791796CFC3A,8F0273FE68E9063E6DE34A66A9BBD0FA,193,37,6.999796888789349,0.009335334345516576,5,1,6.999796888789349,0.009335334345516576,4.406534330198849,0.5124997968268064,4.406534330198849,0.5124997968268064,4.504278376230038,0.4985774330289521,0.03125,0.03125,non-social co-location network,0.7299362842075174
9305B1411EDBB5BA138132FFE4BA0DA7,B0257F76D18CED16C050D604F0239BC6,275,390,3.4964623779737005,0.44627560448761516,11,1,3.4964623779737005,0.44627560448761516,2.623379838577495,0.6301908884744113,2.623379838577495,0.6301908884744113,2.767651704130033,0.602487033034636,0.5833333333333334,0.5833333333333334,non-social co-location network,0.6625909506615497
93080F07C7BD94160E1802884CF6C5C8,7210011966ABE7BC1C6B4F8BB5F29106,660,11682,0.8155916189800801,0.8953030525536311,147,1,0.8155916189800801,0.8953030525536311,0.7160465731074067,0.9108773623975092,0.7160465731074067,0.9108773623975092,0.8393452538317574,0.8914945991609958,0.6,0.6,non-social co-location network,0.9569718805124384
930C05C470A719D3EE84037864453F41,D9A6544A24256FE23B186E811950959E,300,200,4.356433424380173,0.17119360080547222,11,1,4.356433424380173,0.17119360080547222,2.159179971900283,0.710482617307337,2.159179971900283,0.710482617307337,2.186692497542081,0.7056876735524109,0.43478260869565216,0.43478260869565216,non-social co-location network,0.823680526704005
9316761BE29878A82F1BBB8785A43F56,09F9C044D0FE5524107DFA9ED94EAD8F,212,1078,2.066445194254762,0.7232695951216206,25,1,2.066445194254762,0.7232695951216206,1.4116452589029471,0.8289142740131267,1.4116452589029471,0.8289142740131267,1.5181647254090687,0.8127468981949993,0.09090909090909091,0.09090909090909091,non-social co-location network,0.9677503464065735
9343665CD10D89BFD687C6AC129761A0,2716F6659869672BD26F2BF2D6970E60,197,546,1.990603519830962,0.6483189633931137,29,1,1.990603519830962,0.6483189633931137,1.4448421770832671,0.7748642584752421,1.4448421770832671,0.7748642584752421,1.5248118711683034,0.7579006949238632,0.7777777777777778,0.7777777777777778,non-social co-location network,0.742657591029723
