Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
6,KO-Random Trajectory of Alter,0.7473574715386981,0.7492300669027898,0.7482852046553571,0.8330709276912835,0.8343263225045395,0.8337059986601016,2.1405117133036087,2.156165223502031,2.1483221446693896,1.5157738936423337,1.5268106752663482,1.5213263709766067,0.9180083259936107,0.9196032338094391,0.9187977856592271,1.0253746846378762,1.0258227823530428,1.0256018719773956
6,KO-Real Trajectory of Alter,0.7473463491873721,0.7492145728933184,0.7482786651571274,0.8330798243769664,0.8343301852555438,0.8336990157489276,2.1406193431869043,2.1561521155206624,2.1483055522494983,1.5158913925761974,1.5268553323976237,1.521365795990811,0.9180076088095944,0.9195711847785438,0.9188021113363782,1.0253636632090384,1.0258199405084016,1.02559196631804
7,KO-Random Trajectory of Alter,0.7543391814804942,0.7561162091012236,0.755233169252077,0.8347696720647199,0.8359947889407666,0.8353818750153351,2.0933675545717856,2.1084888929965064,2.100900468242144,1.5035277166879875,1.5144915178100868,1.509034858452042,0.9270563934748651,0.9285808213195949,0.9278283575048618,1.0275914927132768,1.028071848862284,1.0278328474346858
7,KO-Real Trajectory of Alter,0.754337504596641,0.756096449282625,0.7552093592267096,0.8347597481037419,0.8360037258104931,0.8353715770788674,2.0934537667114492,2.1083533831982115,2.100997073679664,1.503789351761474,1.5144710908744818,1.5090967920738267,0.9270369328684079,0.9285679487667903,0.9278078067660129,1.0275847926166397,1.0280563069332658,1.0278178451133846
8,KO-Random Trajectory of Alter,0.7600203945899879,0.7617289405639257,0.760872844470814,0.8360680415857473,0.8372706185812147,0.83667354435979,2.0551047450505266,2.0696084194223987,2.062360154957476,1.4939688479582987,1.5048319088841764,1.4994788430118196,0.9343212040636988,0.9357801879830524,0.935042879992009,1.029272216121946,1.0297585613028322,1.0295150060508056
8,KO-Real Trajectory of Alter,0.7599782142172385,0.7616677867780581,0.760811570396801,0.8360713222864482,0.8372477293006783,0.8366633569469534,2.055261286623315,2.0701574508706733,2.062705181161006,1.4941448905856676,1.504918011956895,1.4995456140730388,0.9342636272286006,0.9357095608287359,0.9349739228700793,1.0292568819199046,1.0297463623596235,1.02950027682946
9,KO-Random Trajectory of Alter,0.7645016832430697,0.7661717631548716,0.7653255275605536,0.8373346932101939,0.8385268806677266,0.837927184836586,2.024174635714794,2.0384851886024373,2.0313625372767534,1.4847356505784481,1.495399600084134,1.490073352473796,0.9400191124419365,0.9414304054705117,0.940736803274612,1.0308926741246913,1.0313981914367447,1.0311453001690776
9,KO-Real Trajectory of Alter,0.7644441111488616,0.7661020681640442,0.7652630089209078,0.8373137438157561,0.8385069540464262,0.8379163073373396,2.024407106345157,2.0390242918583565,2.0317277952553723,1.4848426735110394,1.4954565829766249,1.4901481749885912,0.93996207258875,0.9413617668587453,0.9406673949171631,1.0308774112422046,1.0313832526070914,1.0311298105589453
10,KO-Random Trajectory of Alter,0.7680143345297207,0.7696767448174263,0.7688437537196844,0.8384265371502851,0.8396050005576241,0.8390187056131175,1.9999341114370572,2.014089009067673,2.0069373041466823,1.4766082903273121,1.48712059649047,1.4819101692301164,0.944638827363055,0.946016612117862,0.9453234839051746,1.0323341753952275,1.032852732570438,1.0325921201903672
10,KO-Real Trajectory of Alter,0.7679720682013358,0.7695697129182246,0.7687773789483123,0.8384215475167377,0.8396068877093509,0.8390088820500105,2.000240934658356,2.014440927656506,2.0073384672903187,1.4766360886998746,1.4873717971242488,1.481978617255978,0.944547982604967,0.9459393871747961,0.9452489761275239,1.0323162779799828,1.032833959037015,1.032577714127855
