Rank,interval,lower,upper,mean,type
3,19.0,0.7291625667958861,0.7442203185998927,0.7366020650432076,Pi
3,20.0,0.7266642006696108,0.7418004482976578,0.7341938051990679,Pi
3,21.0,0.7272423283413902,0.7425474809989282,0.7349719810656858,Pi
3,22.0,0.7252429784414578,0.7403951497107899,0.7328440860917804,Pi
3,23.0,0.7238759850111889,0.7387436830368453,0.7313022483926629,Pi
3,24.0,0.7218571816170146,0.7367159276518326,0.7292598170190946,Pi
4,1.0,0.7480859365590061,0.761859038098357,0.755054054116788,Pi
4,2.0,0.7483884785196482,0.7622847457330542,0.755428186415953,Pi
4,3.0,0.7475264440091044,0.7615224835670269,0.7545505722649387,Pi
4,4.0,0.7495070788327529,0.7631424251794987,0.7564584264682539,Pi
4,5.0,0.7491300292574447,0.7632323610753783,0.7562807101783723,Pi
4,6.0,0.7499341531300151,0.7633706040714586,0.7567017360838271,Pi
4,7.0,0.7487060321036145,0.7625492199571372,0.7557216796441426,Pi
4,8.0,0.7492328751938291,0.7629039446285483,0.7559946961318761,Pi
4,9.0,0.7492020055292581,0.7631202427711604,0.7562530930415583,Pi
4,10.0,0.74831141200842,0.7619821853448295,0.7552512272274797,Pi
4,11.0,0.7506666493304873,0.7643734764954103,0.7576530364551124,Pi
4,12.0,0.7490230444760851,0.7628217016400047,0.7558338336464715,Pi
4,13.0,0.7487505377724785,0.762676855260406,0.7557397856345746,Pi
4,14.0,0.7494336966847932,0.7629836982201479,0.7563144072079881,Pi
4,15.0,0.7497181537997261,0.7634112973023116,0.7565841186405297,Pi
4,16.0,0.7476338026412921,0.7614947349346647,0.7546066285787032,Pi
4,17.0,0.7488144180348809,0.7625712775549573,0.7556720088608135,Pi
4,18.0,0.7489208115692122,0.7627699376096876,0.7558393932729061,Pi
4,19.0,0.747303794201155,0.761312692046662,0.754438002897959,Pi
4,20.0,0.7468011698991159,0.7608116306923561,0.7538299152097357,Pi
4,21.0,0.7459082822593813,0.759873484353129,0.752856563651985,Pi
4,22.0,0.7459866767704348,0.7595102163484021,0.752808083810303,Pi
4,23.0,0.7441590965310497,0.7578584547393472,0.7510348833441424,Pi
4,24.0,0.7411486495835267,0.7548940585838201,0.7481338348927469,Pi
5,1.0,0.7606583544221432,0.7737263456366091,0.7672935614786826,Pi
5,2.0,0.7603949379925755,0.7734896919876233,0.7670457253290762,Pi
5,3.0,0.7604075499029956,0.7736036361253579,0.7670896264858522,Pi
5,4.0,0.7616669655598441,0.7745123035245975,0.7680877202719002,Pi
5,5.0,0.761842023812796,0.774700058098648,0.7681289123330634,Pi
5,6.0,0.7615419802407507,0.7746222710635575,0.7681260657689335,Pi
5,7.0,0.76050319112416,0.7735902824614245,0.7671752700923254,Pi
