Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
6,non-social co-location network,0.404337904653214,0.4394025029131221,0.42157984702200957,1.0088337290326275,1.020793289732644,1.0149735417873778,0.18813576386222186,0.20553448939889987,0.1968761016988975,0.47342918590737987,0.48736366358037303,0.4803317076878581,8.034021854545994,8.176127778388976,8.106027761879519,5.266618537666034,5.386763097408568,5.32820503630479,0.06349687890539389,0.07010432926141548,0.06679897508522636,0.23649673776952565,0.2519079142122737,0.2441734967135147
6,social network,0.5995665240269572,0.6364616181633956,0.6180573417503827,1.0544583293965568,1.067250886667503,1.0609556161479075,0.27791086276644744,0.29519947611207487,0.2866190948408551,0.4928056566596044,0.5058970136658392,0.49937080016127866,7.010936075828493,7.157278397533721,7.083299674387513,5.117249705410922,5.2304696557343275,5.174764224936565,0.07633616028741923,0.08449304314040915,0.08041406914077179,0.34854262161080884,0.3684012859714529,0.3583329476177341
7,non-social co-location network,0.4136926876259077,0.4500622310071692,0.4316628273562206,1.0137967470337872,1.026010223385667,1.0199932292823224,0.19212947271356576,0.20964346675876916,0.20078333267337758,0.47525835314223785,0.4892860563863359,0.482347004969898,7.936846511070384,8.08413349219685,8.011931690412212,5.2519988238517605,5.3717498427446815,5.311513150019809,0.06086566774159964,0.0673256054238022,0.06402822732542868,0.25395600526326284,0.27011850047471525,0.2621429851226716
7,social network,0.6148477572815704,0.6515824996022509,0.6333178445162351,1.0611845154646686,1.0741939830991158,1.0677231286849906,0.28504289989262854,0.3018160326938074,0.293435677941312,0.4958375624502629,0.5085902949344645,0.5022223560526028,6.918725143041089,7.066400767776766,6.991420328948869,5.092973812436193,5.20855620433565,5.151213745481899,0.07118299221588227,0.079123450874756,0.07513758877063204,0.3648863068788796,0.3850270559968381,0.3748056954102836
8,non-social co-location network,0.4246665667099063,0.46111416092112106,0.4428832950606488,1.0192053051764438,1.0308961218708501,1.0251354383647782,0.1968252830976983,0.21424985632712806,0.20567939282226957,0.4777338136842648,0.49134919798085497,0.4846269747419277,7.8588105127006385,8.001784814441946,7.931155024294908,5.237261664576541,5.355642684937813,5.2966609131108635,0.059512378795382966,0.06602241240555662,0.0626700886543969,0.26910173638114204,0.28585641327040545,0.27742845290283935
8,social network,0.6218427071867028,0.659794311924824,0.6407303937562797,1.06520913722556,1.0785078431244026,1.0719317875458994,0.2881403311949545,0.30525332558026524,0.29663899428606555,0.49742342315096433,0.5104378009773864,0.5040254861411505,6.85651063818099,6.998991508251325,6.926677918909397,5.07869870085772,5.192963930653071,5.135854803947305,0.06683651232408536,0.07489414115968218,0.07084011018683659,0.37856060856182977,0.39912859093726916,0.3889691679446101
9,non-social co-location network,0.441804442540372,0.4785743203921995,0.4601820682277433,1.0209965347802985,1.033697977276884,1.027464681031202,0.20500381655061545,0.2220657822239798,0.2135437963197214,0.4788053883822843,0.49242626933311295,0.48555859069170265,7.7902901360454955,7.937901268240684,7.86474665153949,5.2246357906837355,5.342830512041197,5.283813701866384,0.058961989071512115,0.06513918837940497,0.062019867099207364,0.2824627024016757,0.30012731185108055,0.2913223607817965
9,social network,0.6305043842889435,0.6685925192612838,0.64981439286348,1.0690254766961313,1.0824824463408504,1.0758013373831727,0.2919378520086148,0.3091194314504414,0.30052217153785554,0.4992516383724066,0.5120311169844091,0.5056549835755562,6.803052361636214,6.942941720033228,6.873767250630183,5.066027211719451,5.178446997322372,5.122106251999106,0.0650216544631027,0.07288779004411891,0.06894949508459747,0.3916644877663595,0.4123416951922783,0.4019922725237149
10,non-social co-location network,0.45886167958804613,0.4949150947680355,0.47695448498525456,1.02443598861516,1.0371847918156782,1.0309450959383621,0.2123979082126049,0.22956794932850585,0.2208804419741345,0.4800221919159124,0.494167578134799,0.48709067543691165,7.73479730994732,7.8818579539203055,7.809191375628895,5.214486851268101,5.333789080192376,5.274744619198994,0.061119424682121955,0.06742781899898613,0.06427716239564303,0.2955211882435731,0.31319450319108744,0.30458368676350184
10,social network,0.641685415562321,0.6799278348256622,0.6605093293140257,1.0730704177930865,1.0864405174841574,1.0798210170302942,0.29654486970627114,0.31361574177769497,0.3052366064376795,0.5008061496189117,0.5136896886101991,0.5073242711574342,6.75668418989588,6.8935662375823075,6.825165198918873,5.0524453492254855,5.163476046660527,5.10821902706957,0.06037563171693428,0.06811713613313318,0.0642167960713891,0.4031689960883349,0.4238104931156145,0.4133711303719873
