included,category,dataset,mean,lower,upper
6,WT-MFN,Weeplace,0.45580033487153254,0.4399349662806645,0.4716388516034676
7,CB-1D-MFN,BrightKite,0.776727599771412,0.7263673484799962,0.8238941882392908
7,CB-1D-MFN,Gowalla,0.9487788310066049,0.9008765530966861,1.0011777037067595
7,CB-1D-MFN,Weeplace,0.7952765818711651,0.7727395730445037,0.81788606608302
7,CB-1H-MFN,BrightKite,0.7933282127667173,0.7477719956942939,0.8368571264760888
7,CB-1H-MFN,Gowalla,0.9445614434660032,0.8960481448016123,0.9932079816467667
7,CB-1H-MFN,Weeplace,0.7854317209093241,0.7620629160877548,0.8089398758335943
7,SW-24H-MFN,BrightKite,0.7784936947226956,0.7315972394259219,0.8238423305083002
7,SW-24H-MFN,Gowalla,0.9412394264134525,0.8927189635670223,0.9934644101620281
7,SW-24H-MFN,Weeplace,0.7800802720431798,0.7567143783881627,0.804163356315946
7,TFN,BrightKite,0.8362201181395683,0.7976898620289591,0.8728716552764234
7,TFN,Gowalla,1.097369367452175,1.030308137874433,1.1769925136056338
7,TFN,Weeplace,0.8320861175111663,0.8103577023177464,0.8535561531644588
7,WT-MFN,BrightKite,0.7559206600124919,0.7098051897251968,0.8010263180223538
7,WT-MFN,Gowalla,0.7300100379323583,0.6736509609302596,0.7917150858628026
7,WT-MFN,Weeplace,0.46433775430670987,0.44824190385462365,0.4803543125205643
8,CB-1D-MFN,BrightKite,0.7838597790920815,0.7346722383404855,0.8306862929864326
8,CB-1D-MFN,Gowalla,0.9710164976599062,0.9222863114645071,1.0246374691092426
8,CB-1D-MFN,Weeplace,0.816306049999154,0.7929849389022061,0.8393814197719613
8,CB-1H-MFN,BrightKite,0.805150410572301,0.7608946667638813,0.8465421343222178
8,CB-1H-MFN,Gowalla,0.9646643552695991,0.9161869049449759,1.017119187981068
8,CB-1H-MFN,Weeplace,0.8050080944498644,0.7814279846018674,0.8285547599695474
8,SW-24H-MFN,BrightKite,0.7869581692120612,0.7401288514685481,0.8320101075455988
