,Ego,Cross Entropy
80-20,henry-balanon,-4.217250484
80-20,hillary-lannan,-4.855502931
80-20,hironao,-4.953120088
80-20,hiroyuki-hirakoba,-3.813877268
80-20,hugo-perez,-3.133262629
80-20,hyungtak-kim,-4.627146823
80-20,hyunwoo-yi,-3.626929544
80-20,iamkhayyam,-3.984717023
80-20,iboncool,-2.197592381
80-20,idan-cohen,-2.739730586
80-20,ihase,-2.931787291
80-20,indira-vaidy,-6.184524486
80-20,irene-tien,-4.024842792
80-20,istvan-busak,-4.739397273
80-20,itsia-lee,-4.033945634
80-20,ivan-k,-4.087403243
80-20,j-allen,-2.191072359
80-20,jacob-abernathy,-3.60867498
80-20,jacob-btter,-4.886396939
80-20,jae-r,-4.451970506
80-20,jaime-punishill,-4.672455348
80-20,jake-dwyer,-6.580880028
80-20,jake-furst,-5.192790753
80-20,james-huerta,-2.607052384
80-20,jan-videren6,-6.126993471
80-20,janelle-gunther,-3.772332524
80-20,janine-freriks,-3.671236869
80-20,jared-may,-5.23714695
80-20,jared-taylor,-2.403420716
80-20,jase-patrizio,-3.11386412
80-20,jason-anderson,-4.168310524
80-20,jason-kende,-4.446494174
80-20,jason-lafrenais,-3.101282093
80-20,jason-lake,-2.532310155
80-20,jason-liszka,-4.087522342
80-20,jason-sack,-5.399740843
80-20,jason-smith1,-3.815445486
80-20,jasoncarlin,-1.024617999
80-20,jazznotjazz,-2.738830486
80-20,jeff-amlin,-5.487940141
80-20,jenn-bee,-6.689777331
80-20,jenn-lowther,-4.424189046
80-20,jenn-ng,-6.674015444
80-20,jenn-winger,-3.889790189
80-20,jenna-odett,-1.965260058
80-20,jennifer-boyd,-5.017449844
80-20,jennifer-mcknight,-4.099478576
80-20,jennifer-van-grove,-4.821799024
80-20,jeremy-kim,-1.941768127
80-20,jeremy-perry,-4.752400633
80-20,jeremy-whelchel,-3.622776624
80-20,jesper-andersen,-3.059554882
80-20,jesse-brightman,-5.156340358
80-20,jesse-middleton,-3.178201013
80-20,jessica-murray,-3.615966948
80-20,jessica-worthington,-7.094862012
80-20,jessica01,-3.368234174
80-20,jh-ko,-3.063656799
80-20,jihoon-yeo,-2.738616563
80-20,jill-hanner,-4.87653572
80-20,jill-nussbaum,-3.67308522
80-20,jim-techfrog-alden,-4.503140505
80-20,jim-w,-3.20889316
80-20,jinwon-kim,-3.40398623
80-20,jiri-masek,-5.342583525
80-20,jjangmi,-3.783050088
